"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"5343",5343,"2014-08-30","Man City","Stoke","Joe Hart","Martin Demichelis","Aleksandar Kolarov","Bakary Sagna","Vincent Kompany"," David Silva"," Fernando","Samir Nasri","Yaya TourÈ","Sergio Ag¸ero","Stevan Jovetic","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Steven N'Zonzi","Glenn Whelan","Victor Moses","Jon Walters","Peter Crouch","Mame Biram Diouf"
"5344",5344,"2014-08-30","Newcastle","Crystal Palace","Tim Krul","Massadio HaÔdara","Daryl Janmaat","Mike Williamson","Jack Colback","Fabricio Coloccini","Remy Cabella","Siem De Jong","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere","Juli·n Speroni","Martin Kelly","Joel Ward","Scott Dann","Adrian Mariappa","Damien Delaney","Mile Jedinak","Jason Puncheon","Yannick Bolasie","Marouane Chamakh","Dwight Gayle"
"5345",5345,"2014-08-30","QPR","Sunderland","Rob Green","Steven Caulker","Clint Hill","Rio Ferdinand","Mauricio Isla","Joey Barton","Leroy Fer","Jordon Mutch","Junior Hoilett","Matt Phillips","Charlie Austin","Vito Mannone","Wes Brown","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Jack Rodwell","Lee Cattermole","Adam Johnson","Steven Fletcher","Connor Wickham"
"5346",5346,"2014-08-30","Swansea","West Brom","Lukasz Fabianski","Angel Rangel","Jordi Amat","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony","Ben Foster","Jason Davidson","Craig Dawson","Jonas Olsson","Craig Gardner","Andre Wisdom","Chris Brunt","Youssef Mulumbu","Graeme Dorrans","Saido Berahino","Brown Ideye"
"5347",5347,"2014-08-30","West Ham","Southampton"," Adri·n","James Tomkins","Winston Reid","Cheikhou KouyatÈ","Joey O'Brien","Aaron Cresswell","Stewart Downing","Mark Noble","Ricardo Vaz Te","Carlton Cole","Mauro Z·rate","Fraser Forster","Nathaniel Clyne","JosÈ Fonte","Maya Yoshida","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","James Ward-Prowse","Shane Long","Graziano Pelle"
"5348",5348,"2014-08-31","Aston Villa","Hull","Brad Guzan","Aly Cissokho","Alan Hutton","Ron Vlaar","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Fabian Delph","Charles N'Zogbia","Andi Weimann","Gabby Agbonlahor","Allan McGregor","Paul McShane","Andy Robertson","Curtis Davies","Michael Dawson","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Tom Ince","Stephen Quinn","Nikica Jelavic"
"5349",5349,"2014-08-31","Leicester","Arsenal","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Jeffrey Schlupp","Dean Hammond","Andy King","Riyad Mahrez","David Nugent","Leonardo Ulloa","Wojciech Szczesny","Laurent Koscielny","Nacho Monreal","Per Mertesacker","Mathieu Debuchy","Mathieu Flamini"," Mesut ÷zil","Aaron Ramsey"," Santi Cazorla"," Alexis S·nchez","Yaya Sanogo"
"5350",5350,"2014-08-31","Tottenham","Liverpool","Hugo Lloris","YounËs Kaboul","Eric Dier","Danny Rose","Jan Vertonghen","Nabil Bentaleb","Etienne Capoue","Nacer Chadli","Christian Eriksen","Erik Lamela","Emmanuel Adebayor","Simon Mignolet","Dejan Lovren","Javi Manquillo","Alberto Moreno","Mamadou Sakho","Joe Allen","Steven Gerrard","Jordan Henderson","Raheem Sterling","Mario Balotelli","Daniel Sturridge"
"5351",5351,"2014-09-13","Arsenal","Man City","Wojciech Szczesny","Laurent Koscielny","Nacho Monreal","Per Mertesacker","Mathieu Debuchy","Mathieu Flamini"," Mesut ÷zil","Aaron Ramsey","Jack Wilshere"," Alexis S·nchez","Danny Welbeck","Joe Hart","Martin Demichelis","Pablo Zabaleta","Vincent Kompany","James Milner","GaÎl Clichy"," David Silva"," Fernandinho"," Jes˙s Navas","Frank Lampard","Sergio Ag¸ero"
"5352",5352,"2014-09-13","Chelsea","Swansea","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Oscar"," Diego Costa","AndrÈ Sch¸rrle","Lukasz Fabianski","Angel Rangel","Jordi Amat","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Bafetimbi Gomis"
"5353",5353,"2014-09-13","Crystal Palace","Burnley","Juli·n Speroni","Joel Ward","Scott Dann","Adrian Mariappa","Damien Delaney","Mile Jedinak","James McArthur","Jason Puncheon","Wilfried Zaha","Fraizer Campbell","Dwight Gayle","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","George Boyd","Danny Ings","Lukas Jutkiewicz"
"5354",5354,"2014-09-13","Liverpool","Aston Villa","Simon Mignolet","Dejan Lovren","Javi Manquillo","Alberto Moreno","Mamadou Sakho","Steven Gerrard","Jordan Henderson","Philippe Coutinho","Adam Lallana","Lazar Markovic","Mario Balotelli","Brad Guzan","Nathan Baker","Aly Cissokho","Alan Hutton","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Tom Cleverley","Fabian Delph","Andi Weimann","Gabby Agbonlahor"
"5355",5355,"2014-09-13","Southampton","Newcastle","Fraser Forster","Toby Alderweireld","Nathaniel Clyne","JosÈ Fonte","Ryan Bertrand","Jack Cork","Morgan Schneiderlin","Steven Davis","Duöan Tadic","Shane Long","Graziano Pelle","Tim Krul","Massadio HaÔdara","Daryl Janmaat","Mike Williamson","Vurnon Anita","Jack Colback","Fabricio Coloccini","Remy Cabella","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere"
"5356",5356,"2014-09-13","Stoke","Leicester","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Steven N'Zonzi","Glenn Whelan","Victor Moses","Jon Walters","Peter Crouch","Bojan Krkic","Ben Hamer","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Jeffrey Schlupp","Dean Hammond","Andy King","Riyad Mahrez","David Nugent","Leonardo Ulloa"
"5357",5357,"2014-09-13","Sunderland","Tottenham","Vito Mannone","Wes Brown","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Jack Rodwell","Ricardo Alvarez","Lee Cattermole","Adam Johnson","Connor Wickham","Hugo Lloris","Vlad Chiriche<U+0219>","YounËs Kaboul","Eric Dier","Danny Rose","Etienne Capoue","Nacer Chadli","Moussa DembÈlÈ","Christian Eriksen","Erik Lamela","Emmanuel Adebayor"
"5358",5358,"2014-09-13","West Brom","Everton","Ben Foster","Craig Dawson","Jonas Olsson","SÈbastien Pocognoli","Craig Gardner","Andre Wisdom","Chris Brunt","James Morrison","Graeme Dorrans","Saido Berahino","Brown Ideye","Tim Howard","John Stones","Gareth Barry","Seamus Coleman","Phil Jagielka","Leighton Baines","James McCarthy","Aiden McGeady","Kevin Mirallas","Steven Naismith","Romelu Lukaku"
"5359",5359,"2014-09-14","Man United","QPR","David De Gea"," Rafael Da Silva","Tyler Blackett","Jonny Evans","Marcos Rojo","Daley Blind"," Ander Herrera","Angel Di Maria"," Juan Mata","Wayne Rooney","Robin Van Persie","Rob Green","Steven Caulker","Clint Hill","Rio Ferdinand","Mauricio Isla","Leroy Fer","Niko Kranjcar"," Sandro","Junior Hoilett","Matt Phillips","Charlie Austin"
"5360",5360,"2014-09-15","Hull","West Ham","Allan McGregor","Andy Robertson","Curtis Davies","Michael Dawson","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Stephen Quinn","Mo DiamÈ","Abel Hern·ndez","Nikica Jelavic"," Adri·n","James Tomkins","Winston Reid","Guy Demel","Cheikhou KouyatÈ","Aaron Cresswell","Stewart Downing","Mark Noble","Diafra Sakho","Enner Valencia","Mauro Z·rate"
"5361",5361,"2014-09-20","Aston Villa","Arsenal","Brad Guzan","Aly Cissokho","Alan Hutton","Philippe Senderos","Ciaran Clark","Kieran Richardson","Tom Cleverley","Fabian Delph","Carlos S·nchez","Andi Weimann","Gabby Agbonlahor","Wojciech Szczesny","Laurent Koscielny","Per Mertesacker","Calum Chambers","Kieran Gibbs","Mikel Arteta"," Mesut ÷zil","Alex Oxlade-Chamberlain","Aaron Ramsey"," Santi Cazorla","Danny Welbeck"
"5362",5362,"2014-09-20","Burnley","Sunderland","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Kieran Trippier","Scott Arfield","David Jones","Dean Marney","George Boyd","Lukas Jutkiewicz","Marvin Sordell","Vito Mannone","Wes Brown","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Jack Rodwell","Lee Cattermole","Emanuele Giaccherini","Adam Johnson","Connor Wickham"
"5363",5363,"2014-09-20","Newcastle","Hull","Tim Krul","Paul Dummett","Daryl Janmaat","Mike Williamson","Jack Colback","Fabricio Coloccini","Cheik TiotÈ","Remy Cabella","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere","Allan McGregor","Andy Robertson","Curtis Davies","Michael Dawson","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Stephen Quinn","Mo DiamÈ","Abel Hern·ndez","Nikica Jelavic"
"5364",5364,"2014-09-20","QPR","Stoke","Rob Green","Steven Caulker","Rio Ferdinand","Mauricio Isla","Armand TraorÈ","Joey Barton","Leroy Fer","Niko Kranjcar","Jordon Mutch","Charlie Austin","Eduardo Vargas","Asmir Begovic","Phil Bardsley","Erik Pieters","Ryan Shawcross","Marc Wilson","Charlie Adam","Steven N'Zonzi","Glenn Whelan","Victor Moses","Peter Crouch","Mame Biram Diouf"
"5365",5365,"2014-09-20","Swansea","Southampton","Lukasz Fabianski","Angel Rangel","Federico Fern·ndez","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony","Fraser Forster","Nathaniel Clyne","JosÈ Fonte","Maya Yoshida","Ryan Bertrand","Jack Cork","Morgan Schneiderlin","Duöan Tadic","James Ward-Prowse","Shane Long","Graziano Pelle"
"5366",5366,"2014-09-20","West Ham","Liverpool"," Adri·n","James Tomkins","Winston Reid","Guy Demel","Cheikhou KouyatÈ","Aaron Cresswell","Stewart Downing","Mark Noble","Alex Song","Diafra Sakho","Enner Valencia","Simon Mignolet","Dejan Lovren","Javi Manquillo","Alberto Moreno","Martin äkrtel"," Lucas Leiva","Steven Gerrard","Jordan Henderson","Raheem Sterling","Mario Balotelli","Fabio Borini"
"5367",5367,"2014-09-21","Everton","Crystal Palace","Tim Howard","Sylvain Distin","John Stones","Gareth Barry","Phil Jagielka","Leighton Baines","Christian Atsu","James McCarthy","Leon Osman","Samuel Eto'o","Romelu Lukaku","Juli·n Speroni","Martin Kelly","Joel Ward","Scott Dann","Damien Delaney","Mile Jedinak","Joe Ledley","James McArthur","Jason Puncheon","Yannick Bolasie","Fraizer Campbell"
"5368",5368,"2014-09-21","Leicester","Man United","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Esteban Cambiasso","Danny Drinkwater","Dean Hammond","David Nugent","Leonardo Ulloa","Jamie Vardy","David De Gea"," Rafael Da Silva","Tyler Blackett","Jonny Evans","Marcos Rojo","Daley Blind"," Ander Herrera","Angel Di Maria","Radamel Falcao","Wayne Rooney","Robin Van Persie"
"5369",5369,"2014-09-21","Man City","Chelsea","Joe Hart","Aleksandar Kolarov","Pablo Zabaleta","Vincent Kompany","Eliaquim Mangala","James Milner"," David Silva"," Fernandinho","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Ramires"," Willian"," Diego Costa"
"5370",5370,"2014-09-21","Tottenham","West Brom","Hugo Lloris","Vlad Chiriche<U+0219>","YounËs Kaboul","Eric Dier","Danny Rose","Etienne Capoue","Nacer Chadli","Moussa DembÈlÈ","Christian Eriksen","Erik Lamela","Emmanuel Adebayor","Ben Foster","Craig Dawson","SÈbastien Pocognoli","Joleon Lescott","Craig Gardner","Andre Wisdom","Chris Brunt","James Morrison","Graeme Dorrans","Stephane Sessegnon","Saido Berahino"
"5371",5371,"2014-09-27","Arsenal","Tottenham","Wojciech Szczesny","Laurent Koscielny","Per Mertesacker","Calum Chambers","Kieran Gibbs","Mikel Arteta"," Mesut ÷zil","Alex Oxlade-Chamberlain","Aaron Ramsey","Jack Wilshere","Danny Welbeck","Hugo Lloris","YounËs Kaboul","Kyle Naughton","Danny Rose","Jan Vertonghen","Etienne Capoue","Nacer Chadli","Christian Eriksen","Erik Lamela","Ryan Mason","Emmanuel Adebayor"
"5372",5372,"2014-09-27","Chelsea","Aston Villa","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Oscar"," Willian"," Diego Costa","Brad Guzan","Nathan Baker","Aly Cissokho","Alan Hutton","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Tom Cleverley","Fabian Delph","Andi Weimann","Gabby Agbonlahor"
"5373",5373,"2014-09-27","Crystal Palace","Leicester","Juli·n Speroni","Martin Kelly","Joel Ward","Scott Dann","Damien Delaney","Mile Jedinak","Joe Ledley","James McArthur","Jason Puncheon","Yannick Bolasie","Fraizer Campbell","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Esteban Cambiasso","Danny Drinkwater","Dean Hammond","David Nugent","Leonardo Ulloa","Jamie Vardy"
"5374",5374,"2014-09-27","Hull","Man City","Allan McGregor","Andy Robertson","Curtis Davies","Michael Dawson","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Liam Rosenior","Mo DiamÈ","Abel Hern·ndez","Nikica Jelavic","Willy Caballero","Pablo Zabaleta","Vincent Kompany","Eliaquim Mangala","James Milner","GaÎl Clichy"," David Silva"," Fernandinho","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko"
"5375",5375,"2014-09-27","Liverpool","Everton","Simon Mignolet","Dejan Lovren","Javi Manquillo","Alberto Moreno","Martin äkrtel","Steven Gerrard","Jordan Henderson","Adam Lallana","Lazar Markovic","Raheem Sterling","Mario Balotelli","Tim Howard","John Stones","Gareth Barry","Tony Hibbert","Phil Jagielka","Leighton Baines","Muhamed Beöic","James McCarthy","Kevin Mirallas","Steven Naismith","Romelu Lukaku"
"5376",5376,"2014-09-27","Man United","West Ham","David De Gea"," Rafael Da Silva","Paddy McNair","Marcos Rojo","Luke Shaw","Daley Blind"," Ander Herrera","Angel Di Maria","Radamel Falcao","Wayne Rooney","Robin Van Persie"," Adri·n","James Tomkins","Winston Reid","Guy Demel","Aaron Cresswell","Morgan Amalfitano","Stewart Downing","Diego Poyet","Alex Song","Diafra Sakho","Enner Valencia"
"5377",5377,"2014-09-27","Southampton","QPR","Fraser Forster","Toby Alderweireld","Nathaniel Clyne","JosÈ Fonte","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","Victor Wanyama","Sadio ManÈ","Graziano Pelle","Rob Green","Steven Caulker","Rio Ferdinand","Mauricio Isla","Armand TraorÈ","Leroy Fer","Niko Kranjcar"," Sandro","Matt Phillips","Charlie Austin","Eduardo Vargas"
"5378",5378,"2014-09-27","Sunderland","Swansea","Vito Mannone","Billy Jones","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Jack Rodwell","Lee Cattermole","Adam Johnson","Will Buckley","Connor Wickham","Lukasz Fabianski","Angel Rangel","Federico Fern·ndez","Ashley Williams","Neil Taylor","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Bafetimbi Gomis"
"5379",5379,"2014-09-28","West Brom","Burnley","Ben Foster","Craig Dawson","SÈbastien Pocognoli","Joleon Lescott","Craig Gardner","Andre Wisdom","Chris Brunt","James Morrison","Graeme Dorrans","Stephane Sessegnon","Saido Berahino","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Steven Reid","Kieran Trippier","Scott Arfield","Ross Wallace","George Boyd","Michael Kightly","Lukas Jutkiewicz"
"5380",5380,"2014-09-29","Stoke","Newcastle","Asmir Begovic","Phil Bardsley","Marc Muniesa","Ryan Shawcross","Marc Wilson","Charlie Adam","Steven N'Zonzi","Glenn Whelan","Victor Moses","Peter Crouch","Mame Biram Diouf","Tim Krul","Paul Dummett","Daryl Janmaat","Mike Williamson","Jack Colback","Fabricio Coloccini","Cheik TiotÈ","Remy Cabella","Moussa Sissoko","Yoan Gouffran","Emmanuel Riviere"
"5381",5381,"2014-10-04","Aston Villa","Man City","Brad Guzan","Nathan Baker","Aly Cissokho","Alan Hutton","Philippe Senderos","Kieran Richardson","Ashley R Westwood","Tom Cleverley","Fabian Delph","Charles N'Zogbia","Andi Weimann","Joe Hart","Aleksandar Kolarov","Pablo Zabaleta","Vincent Kompany","Eliaquim Mangala","James Milner"," David Silva"," Fernandinho","Yaya TourÈ","Sergio Ag¸ero","Edin Dûeko"
"5382",5382,"2014-10-04","Hull","Crystal Palace","Steve Harper","James Chester","Andy Robertson","Curtis Davies","Michael Dawson","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Mo DiamÈ","Abel Hern·ndez","Nikica Jelavic","Juli·n Speroni","Martin Kelly","Joel Ward","Scott Dann","Damien Delaney","Mile Jedinak","Joe Ledley","James McArthur","Jason Puncheon","Yannick Bolasie","Fraizer Campbell"
"5383",5383,"2014-10-04","Leicester","Burnley","Kasper Schmeichel","Ritchie De Laet","Paul Konchesky","Liam Moore","Wes Morgan","Jeffrey Schlupp","Danny Drinkwater","Dean Hammond","Riyad Mahrez","Leonardo Ulloa","Jamie Vardy","Tom Heaton","Ben Mee","Jason Shackell","Michael Duff","Kieran Trippier","Stephen Ward","Scott Arfield","George Boyd","Michael Kightly","Ashley Barnes","Lukas Jutkiewicz"
"5384",5384,"2014-10-04","Liverpool","West Brom","Simon Mignolet","Dejan Lovren","Javi Manquillo","Alberto Moreno","Martin äkrtel","Steven Gerrard","Jordan Henderson","Philippe Coutinho","Adam Lallana","Rickie Lambert","Raheem Sterling","Ben Foster","Craig Dawson","SÈbastien Pocognoli","Joleon Lescott","Cristian Gamboa","Craig Gardner","Chris Brunt","James Morrison","Graeme Dorrans","Stephane Sessegnon","Saido Berahino"
"5385",5385,"2014-10-04","Sunderland","Stoke","Vito Mannone","Billy Jones","John O'Shea","Patrick Van Aanholt","Santiago Vergini","Seb Larsson","Lee Cattermole","Jordi GÛmez","Will Buckley","Steven Fletcher","Connor Wickham","Asmir Begovic","Phil Bardsley","Marc Muniesa","Ryan Shawcross","Marc Wilson","Charlie Adam","Steven N'Zonzi","Glenn Whelan","Victor Moses","Marko Arnautovic","Peter Crouch"
"5386",5386,"2014-10-04","Swansea","Newcastle","Lukasz Fabianski","Federico Fern·ndez","Ashley Williams","Neil Taylor","Jazz Richards","Wayne Routledge","Jonjo Shelvey","Gylfi Sigursson","KI Sung-Yueng","Nathan Dyer","Wilfried Bony","Tim Krul","Paul Dummett","Daryl Janmaat","Mike Williamson","Jack Colback","Fabricio Coloccini","Cheik TiotÈ","Moussa Sissoko","Yoan Gouffran","Gabriel Obertan","Papiss CissÈ"
"5387",5387,"2014-10-05","Chelsea","Arsenal","Thibaut Courtois","Gary Cahill","John Terry","CÈsar Azpilicueta","Branislav Ivanovic","Cesc F‡bregas","Eden Hazard","Nemanja Matic"," Oscar"," Diego Costa","AndrÈ Sch¸rrle","Wojciech Szczesny","Laurent Koscielny","Per Mertesacker","Calum Chambers","Kieran Gibbs","Mathieu Flamini"," Mesut ÷zil"," Santi Cazorla","Jack Wilshere"," Alexis S·nchez","Danny Welbeck"
"5388",5388,"2014-10-05","Man United","Everton","David De Gea"," Rafael Da Silva","Paddy McNair","Marcos Rojo","Luke Shaw","Daley Blind","Antonio Valencia","Angel Di Maria"," Juan Mata","Radamel Falcao","Robin Van Persie","Tim Howard","John Stones","Gareth Barry","Tony Hibbert","Phil Jagielka","Leighton Baines","Muhamed Beöic","Aiden McGeady","Steven Pienaar","Steven Naismith","Romelu Lukaku"
"5389",5389,"2014-10-05","Tottenham","Southampton","Hugo Lloris","YounËs Kaboul","Kyle Naughton","Danny Rose","Jan Vertonghen","Etienne Capoue","Nacer Chadli","Christian Eriksen","Erik Lamela","Ryan Mason","Emmanuel Adebayor","Fraser Forster","Toby Alderweireld","Nathaniel Clyne","JosÈ Fonte","Ryan Bertrand","Morgan Schneiderlin","Steven Davis","Duöan Tadic","Victor Wanyama","Sadio ManÈ","Graziano Pelle"
"5390",5390,"2014-10-05","West Ham","QPR"," Adri·n","Carl Jenkinson","James Tomkins","Winston Reid","Aaron Cresswell","Morgan Amalfitano","Stewart Downing","Alex Song","Diafra Sakho","Enner Valencia","Mauro Z·rate","Rob Green","Steven Caulker","Nedum Onuoha","Rio Ferdinand","Armand TraorÈ","Leroy Fer","Karl Henry","Niko Kranjcar"," Sandro","Junior Hoilett","Charlie Austin"
"5391",5391,"2014-10-18","Arsenal","Hull","Wojciech Szczesny","HÈctor Bellerin","Nacho Monreal","Per Mertesacker","Kieran Gibbs","Mathieu Flamini","Alex Oxlade-Chamberlain"," Santi Cazorla","Jack Wilshere"," Alexis S·nchez","Danny Welbeck","Steve Harper","James Chester","Andy Robertson","Curtis Davies","Michael Dawson","Ahmed Elmohamady","Tom Huddlestone","Jake Livermore","Hatem Ben Arfa","Mo DiamÈ","Abel Hern·ndez"
